price,bed,bath,acre_lot,state,zip_code,house_size
333490.0,3.0,3.0,0.07,New Jersey,80160,1500.0
339900.0,2.0,2.0,0.11,New Jersey,70010,1456.0
305100.0,3.0,2.0,0.14,New Jersey,70010,1542.0
205000.0,3.0,1.0,0.11,New Jersey,70010,925.0
479000.0,3.0,3.0,0.11,New Jersey,70010,2330.0
325000.0,3.0,3.0,0.15,New Jersey,70010,1870.0
449900.0,5.0,2.0,0.11,New Jersey,70010,2330.0
449000.0,5.0,2.0,21.949764539675066,New Jersey,70010,2330.0
440000.0,4.0,2.0,0.17,New Jersey,70010,1842.0
40000.0,1.0,1.0,21.949764539675066,New Jersey,70010,2330.0
399000.0,3.0,3.0,0.06,New Jersey,70010,1476.0
65000.0,1.0,1.0,21.949764539675066,New Jersey,70010,2330.0
340000.0,3.0,2.0,0.17,New Jersey,70010,7501.0
484000.0,5.0,2.0,0.18,New Jersey,70010,1387.0
425000.0,3.0,2.0,0.17,New Jersey,70010,2330.0
240000.0,2.0,2.0,21.949764539675066,New Jersey,70010,2330.0
525000.0,4.0,4.0,0.06,New Jersey,70010,2296.0
329000.0,3.0,2.0,0.14,New Jersey,70010,2330.0
275000.0,2.0,1.0,0.14,New Jersey,70010,720.0
275000.0,2.0,2.0,21.949764539675066,New Jersey,70010,2330.0
325000.0,4.0,1.0,21.949764539675066,New Jersey,70010,2330.0
325000.0,3.0,1.0,0.17,New Jersey,70010,1008.0
275000.0,2.0,2.0,0.01,New Jersey,70010,2330.0
359900.0,2.0,3.0,0.02,New Jersey,70010,2330.0
799900.0,5.0,4.0,0.34,New Jersey,70010,3182.0
439900.0,3.0,3.0,0.11,New Jersey,70010,1736.0
375000.0,3.0,1.0,0.17,New Jersey,70010,1414.0
409000.0,3.0,2.0,0.11,New Jersey,70010,2330.0
545000.0,5.0,2.0,0.17,New Jersey,70010,2635.0
265000.0,2.0,2.0,21.949764539675066,New Jersey,70010,2330.0
615000.0,5.0,3.0,0.11,New Jersey,70010,2592.0
349900.0,3.0,2.0,0.16,New Jersey,70010,2330.0
280000.0,2.0,2.0,0.01,New Jersey,70010,2330.0
415000.0,3.0,2.0,21.949764539675066,New Jersey,70010,2330.0
375000.0,3.0,1.0,0.11,New Jersey,70010,862.0
524999.0,4.0,2.0,0.17,New Jersey,70010,1950.0
415000.0,3.0,1.0,0.11,New Jersey,70010,2330.0
350000.0,3.0,2.0,0.11,New Jersey,70010,1199.0
439000.0,3.0,3.0,0.11,New Jersey,70010,1792.0
350000.0,3.0,2.0,21.949764539675066,New Jersey,70010,1295.0
449000.0,3.0,2.0,0.1,New Jersey,70010,1232.0
795000.0,5.0,3.0,0.14,New Jersey,70010,2330.0
460000.0,4.0,4.0,0.1,New Jersey,70010,1620.0
53000.0,3.0,1.0,21.949764539675066,New Jersey,70020,2330.0
299900.0,3.0,1.0,21.949764539675066,New Jersey,70020,2330.0
199000.0,1.0,1.0,21.949764539675066,New Jersey,70020,680.0
198000.0,2.0,1.0,21.949764539675066,New Jersey,70020,575.0
155000.0,1.0,1.0,21.949764539675066,New Jersey,70020,450.0
199000.0,1.0,1.0,21.949764539675066,New Jersey,70020,900.0
369999.0,2.0,4.0,21.949764539675066,New Jersey,70020,2330.0
420000.0,2.0,2.0,21.949764539675066,New Jersey,70020,1560.0
309500.0,2.0,1.0,21.949764539675066,New Jersey,70020,781.0
859000.0,4.0,4.0,0.06,New Jersey,70020,2330.0
649000.0,4.0,3.0,0.07,New Jersey,70020,1924.0
389000.0,2.0,2.0,0.03,New Jersey,70020,2330.0
545000.0,3.0,1.0,0.09,New Jersey,70020,1328.0
495000.0,3.0,3.0,0.06,New Jersey,70020,1315.0
650000.0,4.0,3.0,21.949764539675066,New Jersey,70020,2330.0
600000.0,4.0,3.0,0.06,New Jersey,70020,2330.0
180000.0,1.0,1.0,21.949764539675066,New Jersey,70020,450.0
629000.0,4.0,3.0,0.09,New Jersey,70020,2330.0
399000.0,4.0,2.0,0.05,New Jersey,70020,2330.0
645000.0,4.0,3.0,0.06,New Jersey,70020,2330.0
575000.0,5.0,3.0,0.09,New Jersey,70020,2330.0
420000.0,4.0,2.0,0.05,New Jersey,70020,2330.0
750000.0,6.0,5.0,0.07,New Jersey,70020,2330.0
684000.0,6.0,2.0,0.09,New Jersey,70020,2330.0
899000.0,5.0,3.0,0.16,New Jersey,70020,2275.0
750000.0,6.0,3.0,0.07,New Jersey,70020,2330.0
739900.0,6.0,3.0,21.949764539675066,New Jersey,70020,2330.0
355000.0,3.0,3.0,0.16,New Jersey,70030,2330.0
370000.0,2.0,4.0,0.28,New Jersey,70030,1400.0
299000.0,2.0,1.0,0.06,New Jersey,70030,2330.0
499000.0,3.0,2.0,0.09,New Jersey,70030,2330.0
420000.0,3.0,3.0,21.949764539675066,New Jersey,70030,2330.0
579000.0,3.0,3.0,0.25,New Jersey,70030,2330.0
479900.0,3.0,2.0,0.2,New Jersey,70030,2330.0
575000.0,3.0,2.0,0.09,New Jersey,70030,2330.0
610000.0,6.0,3.0,0.08,New Jersey,70030,3395.0
215000.0,2.0,1.0,0.12,New Jersey,70030,1112.0
479000.0,3.0,2.0,0.13,New Jersey,70030,2330.0
410000.0,3.0,3.0,0.22,New Jersey,70030,2330.0
169961.0,1.0,1.0,21.949764539675066,New Jersey,70030,595.0
379888.0,2.0,2.0,0.09,New Jersey,70030,2330.0
334900.0,3.0,2.0,0.08,New Jersey,70030,2330.0
419000.0,3.0,2.0,0.18,New Jersey,70030,2330.0
489000.0,3.0,2.0,0.11,New Jersey,70030,2330.0
439999.0,3.0,3.0,0.07,New Jersey,70030,2330.0
400000.0,3.0,2.0,0.09,New Jersey,70030,2330.0
589000.0,5.0,2.0,21.949764539675066,New Jersey,70030,2330.0
349000.0,3.0,2.0,0.06,New Jersey,70030,2330.0
517000.0,4.0,3.0,0.1,New Jersey,70030,2330.0
599000.0,6.0,3.0,21.949764539675066,New Jersey,70030,2330.0
524000.0,3.0,2.0,0.12,New Jersey,70030,2330.0
499000.0,3.0,2.0,0.17,New Jersey,70030,2330.0
350000.0,3.0,1.0,0.08,New Jersey,70030,2330.0
425000.0,2.0,2.0,0.07,New Jersey,70030,2330.0
749000.0,5.0,3.0,0.13,New Jersey,70030,2371.0
589000.0,4.0,3.0,0.11,New Jersey,70030,2330.0
449900.0,6.0,3.0,0.07,New Jersey,70030,2330.0
489000.0,3.0,2.0,0.12,New Jersey,70030,2330.0
385000.0,3.0,3.0,0.09,New Jersey,70030,1232.0
550000.0,3.0,2.0,0.12,New Jersey,70030,2330.0
514900.0,3.0,2.0,0.22,New Jersey,70030,2330.0
429000.0,3.0,2.0,0.12,New Jersey,70030,2330.0
370000.0,2.0,4.0,21.949764539675066,New Jersey,70030,2330.0
589900.0,6.0,2.0,21.949764539675066,New Jersey,70030,2330.0
215000.0,2.0,1.0,21.949764539675066,New Jersey,70030,2330.0
379900.0,3.0,2.0,0.08,New Jersey,70030,2330.0
392000.0,4.0,3.0,0.12,New Jersey,70030,2330.0
350000.0,4.0,3.0,0.39,New Jersey,70040,2700.0
319900.0,3.0,1.0,0.29,New Jersey,70040,2330.0
599000.0,3.0,2.0,0.36,New Jersey,70040,2330.0
420000.0,3.0,2.0,0.14,New Jersey,70040,2330.0
764900.0,3.0,3.0,0.55,New Jersey,70040,2728.0
549900.0,4.0,3.0,0.36,New Jersey,70040,2330.0
694000.0,5.0,4.0,0.42,New Jersey,70040,2330.0
464900.0,4.0,3.0,0.51,New Jersey,70040,2006.0
455000.0,2.0,2.0,21.949764539675066,New Jersey,70040,2330.0
570000.0,2.0,3.0,0.34,New Jersey,70040,2330.0
475000.0,3.0,2.0,0.17,New Jersey,70040,2330.0
499400.0,3.0,1.0,0.34,New Jersey,70040,2330.0
459000.0,3.0,2.0,0.24,New Jersey,70040,2330.0
549000.0,4.0,3.0,0.72,New Jersey,70040,2330.0
1200.0,3.0,3.0,21.949764539675066,New Jersey,70040,2330.0
899900.0,3.0,5.0,0.08,New Jersey,70040,2330.0
699900.0,4.0,3.0,0.75,New Jersey,70040,2330.0
1095150.0,4.0,4.0,0.34,New Jersey,70040,2330.0
849000.0,3.0,3.0,21.949764539675066,New Jersey,70040,2330.0
849000.0,3.0,3.0,0.25,New Jersey,70040,2330.0
899000.0,5.0,4.0,1.38,New Jersey,70050,6000.0
355000.0,3.0,1.0,0.14,New Jersey,70050,2330.0
289900.0,3.0,2.0,0.28,New Jersey,70050,2330.0
585000.0,3.0,4.0,0.29,New Jersey,70050,8512.0
486000.0,3.0,3.0,2.48,New Jersey,70050,2080.0
449000.0,2.0,3.0,2.48,New Jersey,70050,2330.0
499000.0,3.0,3.0,0.87,New Jersey,70050,1901.0
399999.0,2.0,1.0,2.37,New Jersey,70050,2330.0
875000.0,4.0,4.0,2.54,New Jersey,70050,2330.0
650000.0,4.0,3.0,0.95,New Jersey,70050,2330.0
369000.0,2.0,1.0,0.46,New Jersey,70050,2330.0
399900.0,3.0,1.0,0.61,New Jersey,70050,2330.0
449999.0,3.0,3.0,0.08,New Jersey,70050,1377.0
799900.0,6.0,4.0,1.67,New Jersey,70050,2330.0
699000.0,4.0,3.0,2.32,New Jersey,70050,2630.0
465000.0,5.0,3.0,0.17,New Jersey,70050,2386.0
474900.0,3.0,2.0,0.43,New Jersey,70050,2330.0
525000.0,3.0,2.0,0.28,New Jersey,70050,1561.0
499000.0,2.0,3.0,3.51,New Jersey,70050,2330.0
669500.0,4.0,3.0,0.34,New Jersey,70050,2330.0
449000.0,3.0,2.0,0.15,New Jersey,70050,2330.0
1195000.0,7.0,4.0,12.0,New Jersey,70050,2766.0
949900.0,4.0,3.0,0.95,New Jersey,70050,2330.0
675000.0,3.0,3.0,0.63,New Jersey,70050,2330.0
1189800.0,5.0,5.0,1.6,New Jersey,70050,4241.0
470000.0,3.0,2.0,0.4,New Jersey,70050,2330.0
525000.0,3.0,1.0,0.69,New Jersey,70050,2330.0
599000.0,4.0,3.0,0.29,New Jersey,70050,2330.0
999999.0,4.0,5.0,1.96,New Jersey,70050,3935.0
678000.0,4.0,3.0,0.28,New Jersey,70050,2650.0
789900.0,4.0,3.0,2.06,New Jersey,70050,2330.0
1049000.0,3.0,4.0,1.63,New Jersey,70050,3799.0
349900.0,3.0,3.0,1.29,New Jersey,70050,2330.0
450000.0,3.0,3.0,21.0,New Jersey,70050,2330.0
350000.0,3.0,3.0,21.949764539675066,New Jersey,70050,2330.0
600000.0,6.0,2.0,0.12,New Jersey,70050,2600.0
609900.0,2.0,3.0,0.05,New Jersey,70050,2330.0
595000.0,4.0,3.0,0.21,New Jersey,70050,2086.0
560000.0,3.0,3.0,0.87,New Jersey,70050,2330.0
1799000.0,5.0,5.0,5.15,New Jersey,70050,2330.0
1399000.0,5.0,4.0,1.56,New Jersey,70050,2330.0
339900.0,2.0,3.0,0.02,New Jersey,70010,2330.0
335000.0,3.0,2.0,0.19,New Jersey,70010,1552.0
410000.0,3.0,2.0,21.949764539675066,New Jersey,70010,2330.0
575000.0,6.0,4.0,0.26,New Jersey,70010,2456.0
413000.0,4.0,3.0,0.06,New Jersey,70020,2330.0
675000.0,3.0,3.0,0.69,New Jersey,70020,3528.0
439999.0,4.0,2.0,21.949764539675066,New Jersey,70020,1496.0
495000.0,3.0,3.0,21.949764539675066,New Jersey,70020,2330.0
649000.0,6.0,2.0,21.949764539675066,New Jersey,70020,2457.0
599000.0,5.0,3.0,0.05,New Jersey,70020,1869.0
780000.0,6.0,5.0,0.06,New Jersey,70020,2330.0
630000.0,6.0,4.0,21.949764539675066,New Jersey,70020,1800.0
1495000.0,3.0,2.0,0.12,New Jersey,70020,1104.0
1495000.0,3.0,2.0,0.12,New Jersey,70020,2330.0
769000.0,6.0,3.0,0.06,New Jersey,70020,2330.0
450000.0,3.0,3.0,0.06,New Jersey,70020,2330.0
635000.0,5.0,3.0,0.06,New Jersey,70020,2330.0
470000.0,5.0,3.0,0.15,New Jersey,70030,2330.0
475000.0,5.0,3.0,0.32,New Jersey,70030,2304.0
365000.0,2.0,3.0,2.24,New Jersey,70030,1720.0
299000.0,3.0,1.0,0.17,New Jersey,70030,2330.0
350000.0,3.0,2.0,0.11,New Jersey,70030,2330.0
649900.0,5.0,3.0,0.48,New Jersey,70030,2330.0
428888.0,4.0,3.0,0.08,New Jersey,70030,2330.0
499000.0,2.0,2.0,0.09,New Jersey,70030,1156.0
435000.0,4.0,2.0,0.13,New Jersey,70030,2330.0
425000.0,3.0,2.0,0.08,New Jersey,70030,1280.0
249900.0,1.0,1.0,0.27,New Jersey,70030,2330.0
450000.0,4.0,3.0,0.11,New Jersey,70030,2330.0
385900.0,3.0,2.0,0.08,New Jersey,70030,2330.0
459000.0,3.0,2.0,0.11,New Jersey,70030,1500.0
585000.0,6.0,4.0,0.11,New Jersey,70030,2750.0
1499000.0,3.0,3.0,0.09,New Jersey,70030,2330.0
359000.0,3.0,2.0,0.08,New Jersey,70030,2330.0
449988.0,5.0,3.0,0.12,New Jersey,70030,2330.0
269900.0,2.0,1.0,0.06,New Jersey,70030,2330.0
475000.0,5.0,4.0,0.13,New Jersey,70030,2100.0
359000.0,2.0,2.0,0.15,New Jersey,70030,2330.0
271000.0,2.0,1.0,1.56,New Jersey,70030,2330.0
539999.0,4.0,3.0,0.13,New Jersey,70030,2330.0
449000.0,3.0,2.0,0.56,New Jersey,70030,2330.0
176900.0,1.0,1.0,0.01,New Jersey,70030,563.0
419900.0,2.0,2.0,0.19,New Jersey,70030,2330.0
449000.0,4.0,2.0,0.2,New Jersey,70030,1865.0
419000.0,3.0,2.0,0.14,New Jersey,70030,2330.0
699500.0,6.0,2.0,0.12,New Jersey,70030,2330.0
850000.0,6.0,5.0,0.27,New Jersey,70030,2330.0
399000.0,2.0,3.0,21.949764539675066,New Jersey,70030,1709.0
389000.0,3.0,2.0,0.09,New Jersey,70030,2330.0
545000.0,3.0,2.0,0.08,New Jersey,70030,2330.0
650000.0,5.0,3.0,0.09,New Jersey,70030,2330.0
369900.0,3.0,3.0,0.19,New Jersey,70030,2330.0
176900.0,1.0,1.0,21.949764539675066,New Jersey,70030,2330.0
650000.0,3.0,4.0,0.06,New Jersey,70030,2330.0
579000.0,4.0,2.0,0.17,New Jersey,70030,1982.0
459000.0,3.0,2.0,0.14,New Jersey,70030,2330.0
395000.0,3.0,3.0,0.11,New Jersey,70030,2330.0
699000.0,6.0,5.0,0.17,New Jersey,70030,2330.0
559000.0,3.0,2.0,0.09,New Jersey,70030,2330.0
450000.0,3.0,2.0,0.07,New Jersey,70030,2330.0
475000.0,4.0,3.0,0.11,New Jersey,70030,2330.0
449000.0,5.0,3.0,0.06,New Jersey,70030,2330.0
424000.0,3.0,2.0,0.08,New Jersey,70030,1440.0
599000.0,5.0,2.0,0.09,New Jersey,70030,2330.0
635000.0,3.0,2.0,0.17,New Jersey,70030,1622.0
419000.0,2.0,2.0,0.09,New Jersey,70030,2330.0
645000.0,3.0,3.0,0.14,New Jersey,70030,2330.0
650000.0,4.0,4.0,0.16,New Jersey,70030,1939.0
675000.0,4.0,2.0,0.12,New Jersey,70030,2800.0
479000.0,3.0,2.0,0.14,New Jersey,70030,2330.0
585000.0,6.0,4.0,0.1,New Jersey,70030,2330.0
499900.0,5.0,3.0,0.08,New Jersey,70030,1998.0
499900.0,4.0,2.0,21.949764539675066,New Jersey,70030,1720.0
395000.0,5.0,2.0,21.949764539675066,New Jersey,70020,2330.0
395000.0,4.0,2.0,0.06,New Jersey,70020,2330.0
159900.0,1.0,1.0,0.59,New Jersey,70020,2330.0
169000.0,1.0,1.0,21.949764539675066,New Jersey,70020,505.0
389000.0,4.0,2.0,0.04,New Jersey,70020,2330.0
155000.0,1.0,1.0,0.04,New Jersey,70020,400.0
728000.0,5.0,3.0,0.11,New Jersey,70020,2500.0
210000.0,1.0,1.0,21.949764539675066,New Jersey,70020,1084.0
499000.0,6.0,3.0,0.03,New Jersey,70020,2330.0
314999.0,2.0,2.0,21.949764539675066,New Jersey,70020,2200.0
389000.0,3.0,2.0,0.04,New Jersey,70020,2330.0
499900.0,7.0,3.0,0.06,New Jersey,70020,2330.0
449000.0,3.0,2.0,0.05,New Jersey,70020,2032.0
479000.0,3.0,2.0,0.05,New Jersey,70020,1322.0
595000.0,5.0,2.0,0.06,New Jersey,70020,2330.0
185000.0,1.0,1.0,21.949764539675066,New Jersey,70020,576.0
549900.0,4.0,2.0,0.07,New Jersey,70020,2084.0
220000.0,3.0,3.0,0.06,New Jersey,70020,2330.0
599000.0,4.0,3.0,0.06,New Jersey,70020,2330.0
549000.0,3.0,3.0,0.07,New Jersey,70020,2330.0
479000.0,6.0,2.0,0.06,New Jersey,70020,2330.0
420000.0,2.0,2.0,0.06,New Jersey,70020,2330.0
560000.0,4.0,2.0,0.09,New Jersey,70020,2330.0
549999.0,3.0,2.0,0.13,New Jersey,70020,2330.0
649000.0,5.0,5.0,0.12,New Jersey,70020,2330.0
450000.0,3.0,3.0,0.06,New Jersey,70020,2330.0
699000.0,6.0,3.0,21.949764539675066,New Jersey,70020,2330.0
625000.0,5.0,2.0,21.949764539675066,New Jersey,70020,2330.0
599999.0,6.0,4.0,0.09,New Jersey,70020,1406.0
269000.0,3.0,3.0,0.06,New Jersey,70020,2330.0
365000.0,3.0,3.0,21.949764539675066,New Jersey,70020,2330.0
593200.0,5.0,2.0,0.06,New Jersey,70020,2330.0
799999.0,7.0,3.0,0.07,New Jersey,70020,2330.0
650000.0,4.0,3.0,0.08,New Jersey,70020,2330.0
475000.0,4.0,3.0,21.949764539675066,New Jersey,70020,2330.0
435000.0,2.0,2.0,21.949764539675066,New Jersey,70020,1148.0
540000.0,2.0,3.0,0.16,New Jersey,70020,2330.0
649000.0,3.0,3.0,0.17,New Jersey,70020,2330.0
284000.0,3.0,3.0,3.77,New Jersey,70050,2330.0
699999.0,5.0,4.0,3.76,New Jersey,70050,4759.0
400000.0,3.0,1.0,0.44,New Jersey,70060,2330.0
415000.0,4.0,1.0,0.23,New Jersey,70060,2330.0
415000.0,2.0,1.0,0.13,New Jersey,70060,2330.0
799000.0,4.0,3.0,0.57,New Jersey,70060,4121.0
399900.0,4.0,2.0,0.2,New Jersey,70060,2330.0
829000.0,4.0,3.0,0.45,New Jersey,70060,2508.0
290000.0,2.0,1.0,2.33,New Jersey,70060,2330.0
435000.0,4.0,2.0,0.13,New Jersey,70060,2330.0
389000.0,2.0,2.0,21.949764539675066,New Jersey,70060,2330.0
475000.0,4.0,3.0,0.25,New Jersey,70060,2330.0
425900.0,1.0,1.0,0.17,New Jersey,70060,2330.0
535000.0,3.0,3.0,0.32,New Jersey,70060,2330.0
320000.0,2.0,2.0,21.949764539675066,New Jersey,70060,2330.0
599000.0,3.0,3.0,0.13,New Jersey,70060,2330.0
569900.0,4.0,2.0,0.17,New Jersey,70060,2330.0
219000.0,1.0,1.0,21.949764539675066,New Jersey,70060,2330.0
508000.0,4.0,2.0,0.24,New Jersey,70060,2330.0
595000.0,3.0,2.0,0.22,New Jersey,70060,2330.0
1274900.0,5.0,4.0,0.5,New Jersey,70060,2330.0
539000.0,3.0,2.0,0.17,New Jersey,70060,2330.0
790000.0,4.0,4.0,0.17,New Jersey,70060,2357.0
499000.0,4.0,2.0,0.07,New Jersey,70060,2330.0
200000.0,1.0,1.0,21.949764539675066,New Jersey,70060,2330.0
899900.0,4.0,3.0,0.31,New Jersey,70060,2330.0
849000.0,4.0,4.0,0.3,New Jersey,70060,2330.0
849900.0,5.0,4.0,0.41,New Jersey,70060,2330.0
758000.0,4.0,3.0,0.27,New Jersey,70060,2330.0
215000.0,1.0,1.0,21.949764539675066,New Jersey,70060,2330.0
645000.0,2.0,4.0,21.949764539675066,New Jersey,70060,2039.0
589000.0,5.0,3.0,21.949764539675066,New Jersey,70060,2330.0
645000.0,2.0,4.0,21.949764539675066,New Jersey,70060,2330.0
689000.0,5.0,3.0,0.34,New Jersey,70060,2330.0
1587000.0,5.0,5.0,0.62,New Jersey,70060,2330.0
1899999.0,5.0,5.0,0.66,New Jersey,70060,2330.0
715000.0,4.0,3.0,0.32,New Jersey,70060,2330.0
